,Name,Event,Time (s),Model,value,error
0,"ANDREW, Michael C ",100m Breaststroke,58.84,Linear Regression,58.69952617979708,0.14047382020292076
1,"ANDREW, Michael C ",200m Medley,117.31,Linear Regression,116.39238942875023,0.9176105712497673
2,"ANDREW, Michael C ",50m Freestyle,21.6,Linear Regression,21.47799231857449,0.12200768142551155
3,"AUBOECK, Felix ",1500m Freestyle,903.47,Linear Regression,823.53957111725,79.93042888275
4,"AUBOECK, Felix ",400m Freestyle,224.07,Linear Regression,222.08173289943497,1.9882671005650252
5,"AUBOECK, Felix ",800m Freestyle,469.14,Linear Regression,440.70580304371043,28.434196956289554
6,"BENTZ, Gunnar ",200m Butterfly,115.46,Linear Regression,113.026170554247,2.433829445752991
7,"BURDISSO, Federico ",200m Butterfly,114.45,Linear Regression,115.07015712430498,-0.6201571243049813
8,"CECCON, Thomas ",100m Backstroke,52.3,Linear Regression,53.39068127070191,-1.0906812707019142
9,"CHALMERS, Kyle ",100m Freestyle,47.08,Linear Regression,46.96034203836095,0.1196579616390494
10,"CHMIELEWSKI, Krzysztof ",200m Butterfly,115.88,Linear Regression,121.51344840729482,-5.633448407294821
11,"CHUPKOV, Anton ",200m Breaststroke,127.24,Linear Regression,123.95756992420677,3.282430075793229
12,"CLAREBURT, Lewis ",200m Medley,117.7,Linear Regression,122.49878599312265,-4.7987859931226495
13,"CLAREBURT, Lewis ",400m Medley,251.22,Linear Regression,249.35538149505055,1.8646185049494477
14,"COSTA, Guilherme ",800m Freestyle,473.31,Linear Regression,453.33564205362933,19.974357946370674
15,"CSEH, Laszlo ",200m Medley,117.68,Linear Regression,111.17920984169535,6.500790158304653
16,"DE BOER, Thom ",50m Freestyle,21.79,Linear Regression,21.747485954103862,0.042514045896137276
17,"DE DEUS, Leonardo ",200m Butterfly,115.19,Linear Regression,110.97128234096017,4.218717659039825
18,"DEAN, Tom ",200m Freestyle,104.22,Linear Regression,107.34402678965016,-3.1240267896501592
19,"DESPLANCHES, Jeremy ",200m Medley,116.17,Linear Regression,117.97963468677534,-1.8096346867753397
20,"DETTI, Gabriele ",400m Freestyle,224.88,Linear Regression,215.15714208784175,9.722857912158247
21,"DRESSEL, Caeleb ",100m Butterfly,49.45,Linear Regression,50.02348964863747,-0.5734896486374694
22,"DRESSEL, Caeleb ",100m Freestyle,47.02,Linear Regression,46.59769350758456,0.42230649241544427
23,"DRESSEL, Caeleb ",50m Freestyle,21.07,Linear Regression,21.159602501125537,-0.0896025011255368
24,"FINK, Nicolas ",200m Breaststroke,127.93,Linear Regression,125.86188550873689,2.068114491263117
25,"FINKE, Robert C ",1500m Freestyle,879.65,Linear Regression,819.2876057992725,60.36239420072752
26,"FINKE, Robert C ",800m Freestyle,461.87,Linear Regression,445.0893037558182,16.780696244181797
27,"FRATUS, Bruno ",50m Freestyle,21.57,Linear Regression,20.950567738794135,0.6194322612058656
