,Name,Event,Time (s),Model,value,error
0,88,12,21.78,Linear Regression,21.86083217622324,-0.08083217622323957
1,87,1,58.99,Linear Regression,57.40882171362548,1.5811782863745236
2,86,0,52.51,Linear Regression,50.9871302369462,1.522869763053798
3,85,10,225.2,Linear Regression,220.51253092991197,4.687469070088014
4,84,1,58.99,Linear Regression,58.19639504277959,0.7936049572204098
5,83,6,128.19,Linear Regression,126.57472136641995,1.615278633580047
6,83,1,58.96,Linear Regression,58.24847549431043,0.7115245056895674
7,82,13,462.68,Linear Regression,449.24215266727435,13.437847332725653
8,82,4,880.91,Linear Regression,822.5402380399132,58.36976196008675
9,81,9,115.0,Linear Regression,112.14886890393696,2.8511310960630425
10,80,11,250.59,Linear Regression,236.8107588662677,13.779241133732313
11,79,2,50.92,Linear Regression,51.34485124546498,-0.42485124546497843
12,78,5,116.15,Linear Regression,115.33738114173741,0.8126188582625957
13,77,6,126.38,Linear Regression,126.08011583123707,0.29988416876292945
14,76,10,223.94,Linear Regression,223.25320077984216,0.6867992201578375
15,76,8,105.12,Linear Regression,104.55819241625514,0.5618075837448657
16,75,11,250.38,Linear Regression,250.99244219474085,-0.6124421947408507
17,74,1,59.36,Linear Regression,58.101948496396474,1.2580515036035251
18,73,9,116.22,Linear Regression,111.34943905786956,4.870560942130439
19,72,9,115.28,Linear Regression,115.72462081193379,-0.4446208119337882
20,72,8,104.26,Linear Regression,103.28240238545057,0.9775976145494383
21,71,8,104.66,Linear Regression,103.98772951243805,0.6722704875619456
22,70,5,113.27,Linear Regression,111.47515366492044,1.794846335079555
23,70,0,51.98,Linear Regression,51.533482741567,0.4465172584329977
24,69,13,462.33,Linear Regression,443.3686593470496,18.961340652950412
25,69,4,880.66,Linear Regression,813.3231527719523,67.33684722804765
26,68,11,251.32,Linear Regression,248.3214659507433,2.9985340492567047
27,67,8,105.78,Linear Regression,102.50291435243804,3.277085647561961
28,66,12,21.72,Linear Regression,20.84604155372695,0.8739584462730505
29,65,8,104.68,Linear Regression,106.90827058124869,-2.2282705812486796
30,65,3,48.04,Linear Regression,48.88449449129305,-0.8444944912930481
31,64,2,50.74,Linear Regression,53.72397527318035,-2.9839752731803486
32,63,6,128.88,Linear Regression,126.66525291207718,2.2147470879228166
33,62,1,57.37,Linear Regression,56.64904058382882,0.7209594161711763
34,61,13,462.11,Linear Regression,443.44067816012426,18.66932183987575
35,61,4,885.01,Linear Regression,811.2259559807012,73.78404401929879
36,60,3,48.1,Linear Regression,49.29525986132554,-1.195259861325539
37,59,5,114.15,Linear Regression,109.83286584154553,4.317134158454479
38,59,0,52.19,Linear Regression,50.73728845588605,1.4527115441139458
39,58,6,128.42,Linear Regression,123.35061384400116,5.069386155998828
40,57,10,224.07,Linear Regression,224.25974679760134,-0.1897467976013445
41,56,10,225.39,Linear Regression,227.35352799774282,-1.9635279977428297
42,55,3,47.86,Linear Regression,47.895802193620355,-0.03580219362035564
43,54,2,50.88,Linear Regression,50.463556295641084,0.41644370435891886
44,53,7,111.25,Linear Regression,112.7997543725338,-1.5497543725337977
45,53,2,49.68,Linear Regression,52.06049056501836,-2.3804905650183628
46,52,2,51.49,Linear Regression,52.340872513764026,-0.8508725137640241
47,51,5,115.49,Linear Regression,115.06124752921801,0.42875247078198697
